id;date;poste;location;assignation_orp;txactivite;offredeservice;resoffredeservice;motifres
1;2020-06-12T05:31:04;Direct Locks;matrix firewall deposit;false;57;Email;EnCours;tan Seamless ADP
2;2020-06-12T07:45:26;TCP;lavender;false;9;Phone;EnCours;Money Market Account
3;2020-06-11T19:23:21;Handcrafted Concrete Computer card;Auto Loan Account Corporate;true;32;Visite;Entretien;SMTP eco-centric
4;2020-06-12T12:54:47;mobile;Plastic Home Loan Account;false;65;Email;Negatif;China bleeding-edge
5;2020-06-12T15:36:45;Japan RAM;Accounts Personal Loan Account;false;31;Email;EnCours;customized bypass Small
6;2020-06-12T10:03:26;parsing Jordan Berkshire;Prairie groupware Clothing;false;41;Phone;Negatif;Czech Koruna Pines teal
7;2020-06-12T05:51:10;International;Indian Rupee Saudi Riyal;true;56;Email;Entretien;e-markets
8;2020-06-12T06:17:13;Fall magenta Small;Sao Tome and Principe Macedonia hack;false;18;Email;Negatif;driver generating
9;2020-06-12T17:23:52;Singapore Dollar cyan e-services;payment Shoes;false;71;Email;EnCours;back up Auto Loan Account
10;2020-06-12T12:59:45;capability;Auto Loan Account Kyrgyz Republic;true;35;Email;EnCours;Ergonomic solid state Games
