id;first_name;last_name;email;phone_number
1;Frederick;Rowe;Kirsten_Cole@yahoo.com;Profound Money Market Account violet
2;Ramiro;Anderson;Adelia2@hotmail.com;Fantastic Wisconsin
3;Brant;Crooks;Aliya_Hills@hotmail.com;Belarussian Ruble Books
4;Dillon;Goldner;Vidal61@yahoo.com;wireless
5;Anabel;Ledner;Concepcion95@gmail.com;Berkshire
6;Rusty;Welch;Madyson.Jaskolski@yahoo.com;24/7
7;Kelli;Mueller;Wilfred_McCullough@gmail.com;Soap olive
8;Elsa;Torphy;Faustino.Kertzmann1@yahoo.com;Tactics Checking Account
9;Ellis;Pfeffer;Greg22@gmail.com;repurpose
10;Judge;Lemke;Zula.Moen@hotmail.com;application Central
